Points,Blocking_Time,NonBlocking_Time
1024,0.000457328,0.000232983
2048,0.00200052,0.000303764
4096,0.00161915,0.000448446
8192,0.000705264,0.00104908
16384,0.00167671,0.00111756
32768,0.00350429,0.003369
65536,0.00440923,0.00401354
131072,0.00774023,0.00776418
262144,0.0154243,0.0157311
524288,0.0315636,0.0304784
1048576,0.0535599,0.0615171
2097152,0.11081,0.121502
4194304,0.217688,0.220911
8388608,0.40191,0.419615
16777216,0.832853,0.809456
33554432,1.61336,1.69287
67108864,4.30408,4.63007
134217728,9.25668,8.7653
268435456,17.8388,17.8724
536870912,35.4046,35.7972
1073741824,70.8196,71.8776
